"No","ID","EN name","KH name","province_id","province_en","province_kh","district_id","district_en","district_kh","district_id","commune_","commune_","commune"
"105","9131","ផ្សារអូរបែកក្អម","ផ្សារអូរបែកក្អម","12","Phnom Penh","ភ្នំពេញ","1208","Saensokh","សែនសុខ","1208","120801","Phnom Penh Thmei","ភ្នំពេញថ្មី"
"106","9132","ផ្សារដីហុយ","ផ្សារដីហុយ","12","Phnom Penh","ភ្នំពេញ","1209","Pur SenChey","ពោធិ៍សែនជ័យ","1209","120917","Kakab 1","កាកាបទី១"
"107","9134","ផ្សារទួលពង្រ","ផ្សារទួលពង្រ","12","Phnom Penh","ភ្នំពេញ","1206","Mean Chey","មានជ័យ","1206","120610","Stueng Mean chey 3","ស្ទឹងមានជ័យទី៣"
"108","9137","Bayon Supermarket","ផ្សារទំនើបបាយ័ណ","12","Phnom Penh","ភ្នំពេញ","1204","Tuol Kouk","ទួលគោក","1204","120408","Boeng Kak Ti Pir","បឹងកក់ទី ២"
"109","9138","West Samhan Market","ខាងលិចផ្សារសាំហាន់","12","Phnom Penh","ភ្នំពេញ","1207","Russey Keo","ឫស្សីកែវ","1207","120714","Tuol Sangkae 2","ទួលសង្កែទី២"
"110","9139","ផ្សារបឹងសាឡាង","ផ្សារបឹងសាឡាង","12","Phnom Penh","ភ្នំពេញ","1207","Russey Keo","ឫស្សីកែវ","1207","120713","Tuol Sangkae 1","ទួលសង្កែទី១"
"111","9140","Phsar Dey Hoy","ស្តុបផ្សារដីហុយ","12","Phnom Penh","ភ្នំពេញ","1208","Saensokh","សែនសុខ","1208","120801","Phnom Penh Thmei","ភ្នំពេញថ្មី"
"112","9141","Piphop Thmey Market","ផ្សារពិភពថ្មី","12","Phnom Penh","ភ្នំពេញ","1209","Pur SenChey","ពោធិ៍សែនជ័យ","1209","120901","Trapeang Krasang","ត្រពាំងក្រសាំង"
"113","9142","Phsar Tapang Pharmacy","ឱសថស្ថាន ផ្សារតាប៉ាងថ្មី","12","Phnom Penh","ភ្នំពេញ","1202","Doun Penh","ដូនពេញ","1202","120209","Phsar Chas","ផ្សារចាស់"
"114","9143","Saen Sok Green Market","ផ្សារ​បៃតង​សែនសុខ​","08","Kandal","កណ្តាល","0811","Ta Khmau","តាខ្មៅ","0811","081104","Ta Khmao","តាខ្មៅ"
"115","9144","Sereya Village Mart","ផ្សារភូមិសិរីយា","12","Phnom Penh","ភ្នំពេញ","1207","Russey Keo","ឫស្សីកែវ","1207","120713","Tuol Sangkae 1","ទួលសង្កែទី១"
"116","9145","New Boeung Salang Market","ផ្សារបឹងសាឡាងថ្មី","12","Phnom Penh","ភ្នំពេញ","1207","Russey Keo","ឫស្សីកែវ","1207","120713","Tuol Sangkae 1","ទួលសង្កែទី១"
"117","9146","Phsar Tapang Pteah Leik M'Pei (20)","ផ្សារតាប៉ាងផ្ទះលេខ 20","12","Phnom Penh","ភ្នំពេញ","1202","Doun Penh","ដូនពេញ","1202","120209","Phsar Chas","ផ្សារចាស់"
"118","9147","Lucky Supermarket","ផ្សារទំនើបឡាក់គី","12","Phnom Penh","ភ្នំពេញ","1208","Saensokh","សែនសុខ","1208","120809","Kouk Khleang","គោកឃ្លាង"
"119","9148","Pothingean Market","","12","Phnom Penh","ភ្នំពេញ","1206","Mean Chey","មានជ័យ","1206","120611","Boeng Tumpun 1","បឹងទំពុនទី១"
"120","9152","fruit market","","12","Phnom Penh","ភ្នំពេញ","1204","Tuol Kouk","ទួលគោក","1204","120209","Phsar Chas","ផ្សារចាស់"
"121","9155","乌雅西市场","ផ្សារអ៊ុយស៊ី","12","Phnom Penh","ភ្នំពេញ","1209","Pur SenChey","ពោធិ៍សែនជ័យ","1209","120917","Kakab 1","កាកាបទី១"
"122","9164","Karot Market","ផ្សារការ៉ុត","12","Phnom Penh","ភ្នំពេញ","1212","Chbar Ampov","ច្បារអំពៅ","1212","121203","Nirouth","និរោធ"
"123","9174","Sangkat Phsar Daeum Thkov","សង្កាត់ផ្សារដើមថ្កូវ","12","Phnom Penh","ភ្នំពេញ","1206","Mean Chey","មានជ័យ","1206","120610","Stueng Mean chey 3","ស្ទឹងមានជ័យទី៣"
"124","9180","ផ្សារ​សុភមង្គល​","ផ្សារ​សុភមង្គល​","12","Phnom Penh","ភ្នំពេញ","1205","Dangkao","ដង្កោ","1205","120501","Dangkao","ដង្កោ"
"125","9188","Lucky Supermarket","","08","Kandal","កណ្តាល","0811","Ta Khmau","តាខ្មៅ","0811","081104","Ta Khmao","តាខ្មៅ"
"126","9200","KM Supermarket","","12","Phnom Penh","ភ្នំពេញ","1202","Doun Penh","ដូនពេញ","1202","120204","Boeng Reang","បឹងរាំង"
"127","9201","Mr. Market","","12","Phnom Penh","ភ្នំពេញ","1212","Chbar Ampov","ច្បារអំពៅ","1212","121203","Nirouth","និរោធ"
"128","9203","Chip Mong Supermarket","","12","Phnom Penh","ភ្នំពេញ","1208","Saensokh","សែនសុខ","1208","120801","Phnom Penh Thmei","ភ្នំពេញថ្មី"
"129","9204","Lantian Fresh Supermarket","","12","Phnom Penh","ភ្នំពេញ","1212","Chbar Ampov","ច្បារអំពៅ","1212","121203","Nirouth","និរោធ"
"130","9221","Kambol Rainbow Night Market","","12","Phnom Penh","ភ្នំពេញ","1205","Dangkao","ដង្កោ","1205","120501","Dangkao","ដង្កោ"
"131","9222","Phsar Dek (Street 88)","វិថី ផ្សារដែក (៨៨)","12","Phnom Penh","ភ្នំពេញ","1202","Doun Penh","ដូនពេញ","1202","120209","Phsar Chas","ផ្សារចាស់"
"132","9223","Phsar Reatrey Night Market","ផ្សារ​រាត្រី","12","Phnom Penh","ភ្នំពេញ","1202","Doun Penh","ដូនពេញ","1202","120209","Phsar Chas","ផ្សារចាស់"
"133","9224","Phsar Moan Ang","ផ្សារមាន់អាំង","12","Phnom Penh","ភ្នំពេញ","1204","Tuol Kouk","ទួលគោក","1204","120408","Boeng Kak Ti Pir","បឹងកក់ទី ២"
"134","9225","Phsar Deoum Kor","ផ្សារដើមគរ","12","Phnom Penh","ភ្នំពេញ","1204","Tuol Kouk","ទួលគោក","1204","120209","Phsar Chas","ផ្សារចាស់"
